id,label,agg,teoria,n_dev,n_lockbox,rho_dev_negKPI,p_dev_negKPI,ci_low_negKPI,ci_high_negKPI,rho_lockbox_negKPI,p_lockbox_negKPI,rho_dev_posKPI,p_dev_posKPI,ci_low_posKPI,ci_high_posKPI,rho_lockbox_posKPI,p_lockbox_posKPI,theta_ols_negKPI,p_ols_negKPI,theta_ols_posKPI,p_ols_posKPI,p_dev_negKPI_bh,p_dev_posKPI_bh
P05_gas_total_min,-gas total lanza (Nm3/min),sum_exposicion,Guia 15.1: momentum del jet ~ flujo*velocidad; mas flujo -> mas turbulencia/splashing (22.2 arrastre mecanico).,299,63,0.08401966285829723,0.1472498766846727,-0.036554881262380136,0.1984275719484625,0.027505760368663597,0.830555792805283,0.050366097281766956,0.38549605738213366,-0.07582509645243683,0.172503277279887,0.16109831029185867,0.2071899539789959,0.0016307315003131983,0.4756143318218369,0.049732156260580695,0.8839017152140135,0.3921463373667392,0.8031167862127785
P06_gas_por_carga,-gas Nm3 / t carga,sum_exposicion,Intensidad de gas relativa al tamano de carga del escalon (arrastre mecanico normalizado).,299,63,-0.014285650153756371,0.8056823523706715,-0.12280361559491154,0.0926606835225501,-0.3359735023041475,0.00710151993790985,0.03311710174855783,0.56840230750373,-0.08804445582220082,0.1452136624799457,0.046658986175115214,0.7165107843312744,-0.0005460157128748095,0.8003235949144697,0.1446326581713607,0.5830520194640468,0.8392524503861162,0.8523244334999331
P06_gas_por_carga,-gas Nm3 / t carga,twmean,Intensidad de gas relativa al tamano de carga del escalon (arrastre mecanico normalizado).,299,63,-0.019814594509663084,0.7329344104003782,-0.1399842902069258,0.0854930343810411,-0.3378456221198157,0.006769172884647874,0.03216493456936994,0.5795806147799546,-0.08165275966357781,0.14745032256945614,0.028465821812596007,0.8247336192325831,-0.0009989723831738372,0.6420167652374145,0.2059167250310036,0.42289239342950125,0.7966678373917154,0.8523244334999331
P04_tiro,-tiro_horno_pct,sum_exposicion,"Guia 21.2: demasiado tiro sube infiltracion de aire falso, volumen de gas y carryover de particulas.",299,63,0.13649839509775313,0.01820340552171751,0.03083106961898655,0.24039717388130738,0.09408602150537636,0.46327814367971076,0.0254319768355368,0.66139437729362,-0.0869237514838842,0.13984335323528965,0.07272465437788019,0.571104328545716,-6.943734293701938e-06,0.9975653938851723,0.4918251277638582,0.1667806585289675,0.11377128451073443,0.9186033017966946
P10_intensidad_fume,-gas*exp(-30000/T_K),twmean,"Intensidad de fume tipo Arrhenius (gas portador * presion de vapor relativa de SnO); Guia 4.3, 22.2.",299,63,-0.15001054970707728,0.009382979908760209,-0.25530554031844394,-0.04285862115700584,-0.17727534562211983,0.1645472938119097,0.013413840317837983,0.8173258129652745,-0.09664919284481271,0.1304878374337787,0.2441436251920123,0.0538159139422751,0.0003869176560570742,0.8984322003567696,-0.6757624778333059,0.10646339407807283,0.09133987816670036,0.9202031674299385
P10_intensidad_fume,-gas*exp(-30000/T_K),sum_exposicion,"Intensidad de fume tipo Arrhenius (gas portador * presion de vapor relativa de SnO); Guia 4.3, 22.2.",299,63,-0.1469363201723867,0.010960785380004043,-0.25378288484817907,-0.0340493643544289,-0.20449308755760368,0.10791182331810055,0.01198895647684676,0.8364413612325053,-0.10280047968751643,0.1264678968732149,0.26488095238095244,0.03590876692217626,0.0007454143222761994,0.8009372751462525,-0.6820167279105961,0.11299355184158968,0.09133987816670036,0.9202031674299385
P09_T_bano,-T horno (bano),twmean,Guia 4.3 / 9.3: mayor T de bano -> mayor volatilizacion de SnO -> fume. Minimizar.,299,63,-0.14913829094745346,0.009808773563550184,-0.2569978041818675,-0.033552419321204945,-0.1951804915514593,0.12528584381017974,0.011235662499158269,0.8465869140355434,-0.11033865693254999,0.13168672921395919,0.24539170506912444,0.05256405906348095,-0.006856005588432773,0.05443943047613199,0.02519694395431782,0.958703134421931,0.09133987816670036,0.9202031674299385
P11_carga_fina,-frac(conc+pellets) en carga,twmean,Guia 22.2: arrastre mecanico aumenta con feed fino (concentrado t1 + pellets recirculados t7).,299,63,-0.07247424300240174,0.21144883028289385,-0.1791135446748061,0.04190412159992362,0.03134600614439324,0.8073246282727966,0.005591793674664991,0.9232927172544808,-0.12287994063464641,0.11744514905867542,0.0011520737327188942,0.9928501032563493,-0.00484724841555807,0.10622884188993703,0.3102541160823263,0.46573405214258135,0.3921463373667392,0.9330536387004282
P11_carga_fina,-frac(conc+pellets) en carga,sum_exposicion,Guia 22.2: arrastre mecanico aumenta con feed fino (concentrado t1 + pellets recirculados t7).,299,63,-0.04591142735292138,0.4289587727991603,-0.15211947791228375,0.06309491207447251,-0.044258832565284185,0.7305245825634672,0.004878453906758547,0.9330536387004282,-0.10656646789152083,0.12638133916949185,0.06912442396313365,0.5903590134617456,-0.0014005138413233614,0.5879436861661159,-0.1812792987927549,0.6310177771668013,0.5835429103025944,0.9330536387004282
P06_gas_por_carga,-gas Nm3 / t carga (ratio de sumas),ratio_sum,Intensidad de gas relativa al tamano de carga del escalon (arrastre mecanico normalizado). Variante coherente Guia 10.8 (cociente de sumas).,299,63,-0.06446230163183767,0.26650615556538165,-0.17640400202643905,0.04264407680430069,-0.14496927803379417,0.25695531177583875,-0.011845300891113554,0.8383741172608123,-0.12868464075344258,0.10392636023704818,0.16325844854070662,0.20108295354761513,0.002898386904881389,0.2855338966498212,0.012372632529907179,0.9760783513504313,0.4164158680709088,0.9202031674299385
P09_T_bano,-T horno (bano),sum_exposicion,Guia 4.3 / 9.3: mayor T de bano -> mayor volatilizacion de SnO -> fume. Minimizar.,299,63,-0.0728791721846872,0.20890150116717915,-0.1788028794225343,0.04714906852105704,-0.20305299539170507,0.11046966008069317,-0.01233417880631187,0.8318007433749557,-0.125102154386215,0.09873346490093815,0.28758640552995396,0.022286434291156274,-0.0008993964007314296,0.7527732288252638,-0.4575069423542253,0.24277076797245767,0.3921463373667392,0.9202031674299385
P01_T_gas_bhf,-T gas pre-BHF,sum_exposicion,Guia (consideracioness) 22.3: T pre-BHF proxy de carga termica / fume aguas abajo. Minimizar.,299,63,0.12254764202823731,0.034161452343498024,0.01381574975089437,0.22931385480062103,-0.14444124423963134,0.2587106733691024,-0.034504724921999505,0.5522978778755081,-0.1409374854851655,0.0839291615080949,0.2563364055299539,0.04257207230906275,0.0033642961323653627,0.07889599584224956,-0.2762748996094019,0.37846774637769187,0.1708072617174901,0.8523244334999331
P02_T_gas_cuchilla,-T gas pre-cuchilla,sum_exposicion,"Guia 22.3: segundo punto del circuito de gases, mismo mecanismo.",299,63,0.116753832686135,0.04366313713893401,0.009211917772075287,0.23236512564417622,-0.08894969278033794,0.4881499218174726,-0.03523557271441718,0.5439063695601234,-0.15468184030144191,0.07470369593440758,0.20468509984639016,0.10757426169707202,0.0034749802682363957,0.07577716277597936,-0.3297007197808202,0.29983264138289323,0.1819297380788917,0.8523244334999331
P03_delta_T_gas,-|dT gas pre|,twmean,"Guia 34: delta_T_gas = T_pre_cuchilla - T_pre_BHF; exploratorio (sin signo universal, 22.3).",299,63,-0.044481156427465154,0.44349261182997174,-0.15240764566368847,0.06753523087128137,0.07306067588325653,0.5693222050190176,-0.04454625036475051,0.4428251330327654,-0.1514924489814437,0.06989552747579836,-0.05611559139784946,0.6622353668229666,0.0011759272952299206,0.5562703252240633,-0.46817662677890637,0.10562564300691993,0.5835429103025944,0.8515867942937796
P03_delta_T_gas,-|dT gas pre|,sum_exposicion,"Guia 34: delta_T_gas = T_pre_cuchilla - T_pre_BHF; exploratorio (sin signo universal, 22.3).",299,63,-0.030326143071984918,0.6014533229046778,-0.15216011129014265,0.09270974692584233,0.0804531490015361,0.530785801315582,-0.05210926802989832,0.3692444931470533,-0.17162389597882313,0.059415805165659134,-0.058755760368663604,0.6473720053241179,0.00158780457613961,0.4313881004810406,-0.5148630890493306,0.07791978256343307,0.6841123483439885,0.8031167862127785
